Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-08-10,26.87809,26.2,32.90836,74.52682,51.95281,93.496895,40.895493,0.5754401,57.49888,49.9116
2015-08-11,25.4794,26.373,34.256165,73.94427,51.455082,92.97058,40.100582,0.5725363,57.378437,49.572556
2015-08-12,25.872293,26.2955,34.314236,73.72025,50.70846,93.53661,40.38571,0.5739884,57.506416,50.404186
2015-08-13,25.852089,26.483,34.068092,73.54846,50.94225,92.7819,40.37706,0.5691485,57.04721,50.314648
2015-08-14,26.033937,26.576,34.210014,73.79492,51.19865,93.765015,40.61037,0.5696326,56.92677,50.12911
2015-08-17,26.303349,26.761,34.44524,74.58658,51.334404,93.27841,40.886856,0.56600255,56.859013,50.391403
2015-08-18,26.155174,26.751,34.17826,74.21314,51.439972,94.50982,41.11299,0.56085104,56.55789,49.83483
2015-08-19,25.820658,26.646,34.441765,74.16832,50.979965,94.64885,40.538967,0.55866426,55.797565,48.76649
2015-08-20,25.29082,25.789,33.719227,73.780014,49.728085,89.9318,39.712708,0.5384951,55.639454,47.704544
2015-08-21,23.743965,24.7235,31.960016,71.913635,47.963387,85.463005,37.460056,0.52172774,54.08118,46.143604
2015-08-24,23.151257,23.1685,30.673738,69.85166,45.437016,81.520546,36.251106,0.50325936,52.048622,43.962124
2015-08-25,23.290453,23.3185,30.393854,68.27883,45.180607,82.42424,35.19871,0.49281013,51.506603,43.95573
2015-08-26,24.626268,25.0385,32.739624,71.575005,47.443024,86.58518,37.146942,0.52998954,53.373547,46.380302
2015-08-27,25.351433,25.9185,33.14755,72.41033,48.627033,89.10757,38.18194,0.54991597,53.810165,47.883667
2015-08-28,25.434496,25.9005,32.737144,71.620155,48.363083,90.37868,38.208042,0.55234605,53.606907,48.02439
2015-08-31,25.315508,25.6445,32.148098,70.72461,48.34047,88.80962,37.85143,0.5462708,53.2004,48.133156
2015-09-01,24.18399,24.827,31.241945,69.302345,46.341988,86.62491,36.372868,0.5239147,51.86794,46.111614
2015-09-02,25.221222,25.5275,32.003685,70.25053,47.186634,89.26645,37.71228,0.5397098,52.552982,46.847305
2015-09-03,24.778942,25.236,31.613638,69.71623,47.269577,87.53852,37.834045,0.54116774,52.64333,47.20556
2015-09-04,24.531975,24.95,31.212172,68.71531,46.379704,87.64774,37.05998,0.5285316,51.762543,46.354702
2015-09-08,25.214489,25.877,31.952578,70.69453,47.631573,88.90894,38.17324,0.551131,52.68098,47.02004
2015-09-09,24.72955,25.8445,31.929256,69.40013,46.892513,89.81263,37.460056,0.5401959,51.551777,46.060444
2015-09-10,25.27286,26.112,32.30988,69.77642,47.254505,91.34195,37.651398,0.54870075,51.431316,46.393112
2015-09-11,25.641052,26.472,32.519295,69.93445,47.179104,91.41147,37.816647,0.5504019,51.506603,46.501858
2015-09-14,25.888006,26.069,32.378857,70.22794,47.043343,91.66965,37.433964,0.55137414,51.235596,46.373898
2015-09-15,26.105783,26.1185,33.004128,71.0407,47.948307,92.25557,38.251526,0.55744886,52.281975,46.610607
2015-09-16,26.134968,26.3695,33.026463,71.19875,48.37062,92.80174,38.52984,0.56133693,52.7713,47.531822
2015-09-17,25.57594,26.9435,33.331657,71.37183,47.24696,93.68557,38.486355,0.56643987,52.876698,47.634182
2015-09-18,25.470425,27.013,32.79819,70.280624,45.957363,93.74516,37.816647,0.5659542,52.65086,46.495457
2015-09-21,25.865559,27.4195,33.09891,70.08493,46.341988,94.88719,38.36459,0.5717863,53.18534,46.94967
2015-09-22,25.459198,26.92,32.415077,70.16775,45.934746,92.31515,38.18194,0.5562338,52.839058,46.53384
2015-09-23,25.66575,26.8035,32.419548,69.97959,45.731125,93.318146,38.155857,0.5589071,52.89174,46.25236
2015-09-24,25.81842,26.6875,32.499935,69.595795,45.41439,93.7551,38.19065,0.56959915,53.71984,46.52743
2015-09-25,25.753305,26.2125,31.76747,68.482056,46.357067,92.126465,38.216747,0.57373035,54.705986,46.847305
2015-09-28,25.243673,25.203,30.978434,68.76047,45.233395,88.59116,37.651398,0.56619704,54.02848,46.44427
2015-09-29,24.48483,24.8035,30.89705,70.017235,45.127827,86.06878,37.781864,0.57616013,54.412415,46.68099
2015-09-30,24.763224,25.5945,31.67914,70.25053,45.980003,89.276375,38.49505,0.5990026,54.156437,47.563793
2015-10-01,24.601585,26.036,31.859278,70.11505,46.31936,90.31909,38.79946,0.58733845,54.163994,47.37828
2015-10-02,24.781187,26.627,32.60316,70.687,46.190235,91.43133,39.634438,0.6026475,54.517788,48.542606
2015-10-05,24.870989,27.184,33.33215,71.3116,47.10932,93.357864,40.55636,0.61771387,55.12005,49.137527
2015-10-06,24.989975,26.874,33.33017,70.3032,47.132122,92.156265,40.660725,0.62573284,55.255543,49.82845
2015-10-07,24.870989,27.097,33.24878,71.47717,47.19288,91.75903,40.704212,0.63229406,55.496456,50.66648
2015-10-08,24.583616,26.658,33.099907,71.552414,47.19288,91.828545,41.269558,0.63593894,56.008347,51.197464
2015-10-09,25.171833,26.99,33.310314,71.77069,47.04096,92.59321,40.973835,0.633509,56.068565,50.704872
2015-10-12,25.055088,27.5095,33.56787,72.23724,46.88145,93.606125,40.87817,0.6403129,55.955666,50.730442
2015-10-13,25.09774,27.445,33.902348,71.83089,46.752327,93.46709,40.78249,0.641528,55.790035,50.640907
2015-10-14,24.743017,27.2415,33.765377,71.13853,45.567383,93.41746,40.599846,0.66485614,55.865295,51.280624
2015-10-15,25.113459,28.122,34.39115,73.11021,47.010586,95.29434,40.88685,0.66655725,55.910484,52.12507
2015-10-16,24.929358,28.538,34.505283,73.930504,47.420753,96.86337,41.321747,0.6770066,56.38474,52.764797
2015-10-19,25.084272,28.6575,34.735058,73.70474,47.261242,97.78693,41.417416,0.67579156,56.580475,51.811604
2015-10-20,25.542269,28.044,33.74503,73.44134,47.48911,96.327126,41.547874,0.6748197,56.030922,51.709244
2015-10-21,25.540022,27.7885,33.338108,73.471436,47.139713,96.43636,41.05212,0.6660714,55.896484,51.31263
2015-10-22,25.930664,28.1955,33.801605,74.90131,47.99803,98.97861,41.77401,0.69012874,56.853554,53.027077
2015-10-23,26.734406,29.9515,35.69679,75.48826,48.514553,101.48113,45.98359,0.69474596,58.5094,53.08465
